Year,Events,Deaths,Population,Types,Ratio,
1970,642,135,3700437046,Events Percent,0.0000001734930204,
1970,642,135,3700437046,Deaths Percent,0.0000000364821772,
1971,460,146,3775759617,Events Percent,0.0000001218297897,
1971,460,146,3775759617,Deaths Percent,0.0000000386677159,
1972,546,536,3851650245,Events Percent,0.0000001417574196,
1972,546,536,3851650245,Deaths Percent,0.0000001391611299,
1973,463,368,3927780238,Events Percent,0.0000001178782854,
1973,463,368,3927780238,Deaths Percent,0.0000000936915962,
1974,571,537,4003794172,Events Percent,0.0000001426147238,
1974,571,537,4003794172,Deaths Percent,0.0000001341227788,
1975,724,614,4079480606,Events Percent,0.0000001774735732,
1975,724,614,4079480606,Deaths Percent,0.0000001505093563,
1976,889,633,4154666864,Events Percent,0.0000002139762414,
1976,889,633,4154666864,Deaths Percent,0.0000001523587861,
1977,1277,338,4229506060,Events Percent,0.0000003019265091,
1977,1277,338,4229506060,Deaths Percent,0.0000000799147691,
1978,1427,1345,4304533501,Events Percent,0.0000003315109523,
1978,1427,1345,4304533501,Deaths Percent,0.0000003124612690,
1979,2403,1734,4380506100,Events Percent,0.0000005485667512,
1979,2403,1734,4380506100,Deaths Percent,0.0000003958446719,
1980,2487,3997,4458003514,Events Percent,0.0000005578730461,
1980,2487,3997,4458003514,Deaths Percent,0.0000008965896925,
1981,2357,3862,4536996762,Events Percent,0.0000005195066524,
1981,2357,3862,4536996762,Deaths Percent,0.0000008512238828,
1982,2279,4090,4617386542,Events Percent,0.0000004935692473,
1982,2279,4090,4617386542,Deaths Percent,0.0000008857824578,
1983,2514,7148,4699569304,Events Percent,0.0000005349426378,
1983,2514,7148,4699569304,Deaths Percent,0.0000015209904435,
1984,3021,8209,4784011621,Events Percent,0.0000006314783992,
1984,3021,8209,4784011621,Deaths Percent,0.0000017159239254,
1985,2402,5687,4870921740,Events Percent,0.0000004931304850,
1985,2402,5687,4870921740,Deaths Percent,0.0000011675408277,
1986,2579,4261,4960567912,Events Percent,0.0000005199001497,
1986,2579,4261,4960567912,Deaths Percent,0.0000008589742295,
1987,2838,5598,5052522147,Events Percent,0.0000005616996655,
1987,2838,5598,5052522147,Deaths Percent,0.0000011079614967,
