time,nkill
1970-1,1
1970-2,56
1970-3,7
1970-4,4
1970-5,6
1970-6,19
1970-7,7
1970-8,12
1970-9,9
1970-10,3
1970-11,9
1970-12,2
1971-1,5
1971-2,11
1971-3,2
1971-4,16
1971-5,7
1971-6,1
1971-7,3
1971-8,14
1971-9,20
1971-10,16
1971-11,20
1971-12,31
1972-1,15
1972-2,40
1972-3,34
1972-4,14
1972-5,67
1972-6,111
1972-7,77
1972-8,37
1972-9,49
1972-10,30
1972-11,22
1972-12,40
1973-1,40
1973-2,35
1973-3,29
1973-4,15
1973-5,33
1973-6,30
1973-7,18
1973-8,27
1973-9,14
1973-10,21
1973-11,19
1973-12,87
1974-1,25
1974-2,30
1974-3,29
1974-4,50
1974-5,95
1974-6,39
1974-7,13
1974-8,29
1974-9,121
1974-10,25
1974-11,69
1974-12,12
1975-1,19
1975-2,27
1975-3,61
1975-4,76
1975-5,18
1975-6,25
1975-7,25
1975-8,60
1975-9,26
1975-10,79
1975-11,62
1975-12,136
1976-1,70
1976-2,34
1976-3,28
1976-4,39
1976-5,55
1976-6,68
1976-7,57
1976-8,56
1976-9,37
1976-10,120
1976-11,32
1976-12,37
1977-1,39
1977-2,16
1977-3,31
1977-4,30
1977-5,35
1977-6,20
1977-7,17
1977-8,15
1977-9,25
1977-10,56
1977-11,16
1977-12,38
1978-1,41
1978-2,77
1978-3,89
1978-4,31
1978-5,30
1978-6,72
1978-7,25
1978-8,583
1978-9,117
1978-10,110
1978-11,111
1978-12,59
1979-1,167
1979-2,188
1979-3,145
1979-4,115
1979-5,236
1979-6,161
1979-7,95
1979-8,196
1979-9,111
1979-10,116
1979-11,110
1979-12,94
1980-1,219
1980-2,194
1980-3,322
1980-4,391
1980-5,462
1980-6,301
1980-7,220
1980-8,672
1980-9,320
1980-10,382
1980-11,288
1980-12,226
1981-1,403
1981-2,338
1981-3,418
1981-4,219
1981-5,225
1981-6,438
1981-7,254
1981-8,175
1981-9,331
1981-10,337
1981-11,331
1981-12,393
1982-1,442
1982-2,465
1982-3,379
1982-4,318
1982-5,447
1982-6,275
1982-7,346
1982-8,189
1982-9,182
1982-10,379
1982-11,249
1982-12,419
1983-1,599
1983-2,706
1983-3,317
1983-4,892
1983-5,864
1983-6,575
1983-7,395
